step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
295,767728,4720,0.016378087049007794,1.0,1.0,,,,,,,,,
296,770432,4736,0.015923614471206587,1.0,1.0,,,,,,,,,
297,773136,4752,0.01657386168908615,1.0,1.0,0.01557652205481163,1.0,1.0,,,,,,
298,775712,4768,0.016867598386557374,1.0,1.0,,,,,,,,,
299,778416,4784,0.014782801969673737,1.0,1.0,,,,,,,,,
300,780992,4800,0.015539592684356715,1.0,1.0,,,,,,,,,
301,783568,4816,0.01726185328492979,1.0,1.0,,,,,,,,,
302,786144,4832,0.01658734627879723,1.0,1.0,,,,,,,,,
303,788720,4848,0.017027667156232405,1.0,1.0,,,,,,,,,
304,791424,4864,0.01747024963077973,1.0,1.0,,,,,,,,,
305,794128,4880,0.015548781367538773,1.0,1.0,0.01535506549087553,1.0,1.0,,,,,,
306,796704,4896,0.01890564614597756,1.0,1.0,,,,,,,,,
307,799280,4912,0.019277786127831875,1.0,1.0,,,,,,,,,
308,801856,4928,0.01618342389230063,1.0,1.0,,,,,,,,,
309,804560,4944,0.015350544482994272,1.0,1.0,,,,,,,,,
310,807136,4960,0.01645475022943576,1.0,1.0,,,,,,,,,
311,809840,4976,0.01774363173306476,1.0,1.0,,,,,,,,,
312,812416,4992,0.01576003014350725,1.0,1.0,,,,,,,,,
313,814992,5008,0.016596334246199208,1.0,1.0,0.01577484531189601,1.0,1.0,,,,,,
314,817696,5024,0.013508436921722988,1.0,1.0,,,,,,,,,
315,820400,5040,0.01572349632068663,1.0,1.0,,,,,,,,,
316,822976,5056,0.015917222253808868,1.0,1.0,,,,,,,,,
317,825552,5072,0.019199632832093628,1.0,1.0,,,,,,,,,
318,828256,5088,0.01504758186601771,1.0,1.0,,,,,,,,,
319,830832,5104,0.016411597784938902,1.0,1.0,,,,,,,,,
320,833280,5120,0.015656485914021363,1.0,1.0,,,,,,,,,
321,835984,5136,0.014643017479070845,1.0,1.0,0.015367065206745006,1.0,1.0,,,,,,
322,838560,5152,0.017890276274819754,1.0,1.0,,,,,,,,,
323,841136,5168,0.015278679478189283,1.0,1.0,,,,,,,,,
324,843712,5184,0.01639178264411565,1.0,1.0,,,,,,,,,
325,846288,5200,0.01510945048815475,1.0,1.0,,,,,,,,,
326,848864,5216,0.01544579215390204,1.0,1.0,,,,,,,,,
327,851440,5232,0.014898732316306085,1.0,1.0,,,,,,,,,
328,854144,5248,0.016545793276567043,1.0,1.0,,,,,,,,,
329,856720,5264,0.01708504063679225,1.0,1.0,0.016745094383046208,1.0,1.0,,,,,,
330,859424,5280,0.01382765246143626,1.0,1.0,,,,,,,,,
331,862000,5296,0.015896949089783934,1.0,1.0,,,,,,,,,
332,864704,5312,0.017583708093167744,1.0,1.0,,,,,,,,,
333,867280,5328,0.016514766322591155,1.0,1.0,,,,,,,,,
334,869984,5344,0.0176756258694534,1.0,1.0,,,,,,,,,
335,872688,5360,0.01464415642829226,1.0,1.0,,,,,,,,,
336,875392,5376,0.01588431728289375,1.0,1.0,,,,,,,,,
337,877968,5392,0.016238249084569036,1.0,1.0,0.017198234061427325,1.0,1.0,,,,,,
338,880544,5408,0.01581714874468555,1.0,1.0,,,,,,,,,
339,883120,5424,0.01612101704421704,1.0,1.0,,,,,,,,,
340,885696,5440,0.01565373123319229,1.0,1.0,,,,,,,,,
341,888144,5456,0.015913318930217576,1.0,1.0,,,,,,,,,
342,890848,5472,0.01603222701270108,1.0,1.0,,,,,,,,,
343,893552,5488,0.015339894469860414,1.0,1.0,,,,,,,,,
344,896000,5504,0.015577747095462488,1.0,1.0,,,,,,,,,
345,898576,5520,0.014882757287692972,1.0,1.0,0.015124022134083898,1.0,1.0,,,,,,
346,901152,5536,0.016277164354882356,1.0,1.0,,,,,,,,,
347,903728,5552,0.01579049307090218,1.0,1.0,,,,,,,,,
348,906432,5568,0.018152703907094562,1.0,1.0,,,,,,,,,
349,909008,5584,0.015736080850129296,1.0,1.0,,,,,,,,,
350,911712,5600,0.015873800249918888,1.0,1.0,,,,,,,,,
351,914416,5616,0.015546931905207792,1.0,1.0,,,,,,,,,
352,916992,5632,0.01697689794075144,1.0,1.0,,,,,,,,,
353,919568,5648,0.016706126632286513,1.0,1.0,0.01612463774511628,1.0,1.0,,,,,,
354,922144,5664,0.01806633762684027,1.0,1.0,,,,,,,,,
355,924720,5680,0.01656609657713122,1.0,1.0,,,,,,,,,
356,927296,5696,0.016846763359424106,1.0,1.0,,,,,,,,,
357,929872,5712,0.01758246193919575,1.0,1.0,,,,,,,,,
358,932576,5728,0.01661299705417573,1.0,1.0,,,,,,,,,
359,935280,5744,0.017149208087199073,1.0,1.0,,,,,,,,,
360,937984,5760,0.01626883081439776,1.0,1.0,,,,,,,,,
361,940560,5776,0.013920282723599343,1.0,1.0,0.015460709224361314,1.0,1.0,,,,,,
362,943136,5792,0.01705630549719863,1.0,1.0,,,,,,,,,
363,945584,5808,0.01744340918447984,1.0,1.0,,,,,,,,,
364,948160,5824,0.016755374308872445,1.0,1.0,,,,,,,,,
365,950608,5840,0.01556399091616301,1.0,1.0,,,,,,,,,
366,953184,5856,0.01919217268245859,1.0,1.0,,,,,,,,,
367,955760,5872,0.0176080405836768,1.0,1.0,,,,,,,,,
368,958336,5888,0.01453416874450667,1.0,1.0,,,,,,,,,
369,961040,5904,0.01770715896973183,1.0,1.0,0.0158824054392703,1.0,1.0,,,,,,
370,963616,5920,0.017976524089939362,1.0,1.0,,,,,,,,,
371,966320,5936,0.015108764086705983,1.0,1.0,,,,,,,,,
372,968896,5952,0.018551851624268298,1.0,1.0,,,,,,,,,
373,971472,5968,0.01669156564331823,1.0,1.0,,,,,,,,,
374,974176,5984,0.014192175124681653,1.0,1.0,,,,,,,,,
375,976752,6000,0.016312325505554136,1.0,1.0,,,,,,,,,
376,979328,6016,0.016612465725501256,1.0,1.0,,,,,,,,,
377,981904,6032,0.014714407493740093,1.0,1.0,0.0125065826981443,1.0,1.0,,,,,,
378,984480,6048,0.016856692018239472,1.0,1.0,,,,,,,,,
379,987056,6064,0.015790912210005385,1.0,1.0,,,,,,,,,
380,989632,6080,0.015144022563160654,1.0,1.0,,,,,,,,,
